,0,1,2,3,4,5,location,area,classification,salary
2158,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,NorthlandNorthland, Rest of NorthlandRest of Northland, Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,
2159,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,ManawatuManawatu, Rest of ManawatuRest of Manawatu, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2160,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington, Wellington CentralWellington Central," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2161,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2162,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2163,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2164,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2165,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2166,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2167,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2168,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
2169,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience,AucklandAuckland," Auckland CentralAuckland Central,Competitive hourly rate depending on experience",Competitive hourly rate depending on experience,
2170,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
2171,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2172,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
2173,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
2174,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2175,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2176,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=b9cf2c1a-db15-40e7-9278-5123701dabb9,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2177,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=5c6d7173-5385-4c07-8237-3fb75fcf8ff9,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2178,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=5c6d7173-5385-4c07-8237-3fb75fcf8ff9,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration,"WellingtonWellington,Attractive remuneration",,Attractive remuneration,
2179,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=5c6d7173-5385-4c07-8237-3fb75fcf8ff9,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2180,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=5c6d7173-5385-4c07-8237-3fb75fcf8ff9,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,WaikatoWaikato, Rest of WaikatoRest of Waikato, Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,
2181,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=5c6d7173-5385-4c07-8237-3fb75fcf8ff9,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2182,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=5c6d7173-5385-4c07-8237-3fb75fcf8ff9,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate,WellingtonWellington," Wellington CentralWellington Central,Competitive hourly rate",Competitive hourly rate,
2183,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=5c6d7173-5385-4c07-8237-3fb75fcf8ff9,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2184,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=5c6d7173-5385-4c07-8237-3fb75fcf8ff9,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2185,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=5c6d7173-5385-4c07-8237-3fb75fcf8ff9,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2186,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Personnel Resources/Temp Resources,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"24d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,Bay of PlentyBay of Plenty, RotoruaRotorua, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2187,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,NorthlandNorthland, Rest of NorthlandRest of Northland, Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,
2188,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,ManawatuManawatu, Rest of ManawatuRest of Manawatu, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2189,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington, Wellington CentralWellington Central," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2190,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2191,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2192,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2193,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2194,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2195,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2196,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2197,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
2198,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience,AucklandAuckland," Auckland CentralAuckland Central,Competitive hourly rate depending on experience",Competitive hourly rate depending on experience,
2199,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
2200,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2201,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
2202,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
2203,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2204,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2205,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=b5f437c1-eb37-49cb-bc50-9314c3ebd0e0,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2206,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=87433c16-12da-4911-a88c-0c9d0fb5e682,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2207,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=87433c16-12da-4911-a88c-0c9d0fb5e682,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration,"WellingtonWellington,Attractive remuneration",,Attractive remuneration,
2208,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=87433c16-12da-4911-a88c-0c9d0fb5e682,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2209,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=87433c16-12da-4911-a88c-0c9d0fb5e682,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,WaikatoWaikato, Rest of WaikatoRest of Waikato, Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,
2210,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=87433c16-12da-4911-a88c-0c9d0fb5e682,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2211,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=87433c16-12da-4911-a88c-0c9d0fb5e682,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate,WellingtonWellington," Wellington CentralWellington Central,Competitive hourly rate",Competitive hourly rate,
2212,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=87433c16-12da-4911-a88c-0c9d0fb5e682,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2213,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=87433c16-12da-4911-a88c-0c9d0fb5e682,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2214,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=87433c16-12da-4911-a88c-0c9d0fb5e682,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2215,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Personnel Resources/Temp Resources,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"24d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,Bay of PlentyBay of Plenty, RotoruaRotorua, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2216,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,NorthlandNorthland, Rest of NorthlandRest of Northland, Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,
2217,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,ManawatuManawatu, Rest of ManawatuRest of Manawatu, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2218,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington, Wellington CentralWellington Central," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2219,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2220,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
