,job_name,job_link,post_date,area,location,classification,sub_classification,salary
2439,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=188a5668-baac-4c88-8fd3-6737bbf212e8,2023-04-21,,Wellington,,,
2440,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=188a5668-baac-4c88-8fd3-6737bbf212e8,2023-05-03,Hamilton,Waikato,,,
2441,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=188a5668-baac-4c88-8fd3-6737bbf212e8,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
2442,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=188a5668-baac-4c88-8fd3-6737bbf212e8,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2443,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=188a5668-baac-4c88-8fd3-6737bbf212e8,2023-04-20,Wellington Central,Wellington,,,
2444,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=188a5668-baac-4c88-8fd3-6737bbf212e8,2023-04-27,Hamilton,Waikato,,,
2445,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=188a5668-baac-4c88-8fd3-6737bbf212e8,2023-04-19,Hamilton,Waikato,,,
2446,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=188a5668-baac-4c88-8fd3-6737bbf212e8,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2447,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-23,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
2448,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
2449,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
2450,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2451,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-05-10,Hamilton,Waikato,,,
2452,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2453,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2454,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2455,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2456,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2457,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-20,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
2458,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-27,Auckland Central,Auckland,Administration & Office Support,Other,
2459,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-19,Auckland Central,Auckland,,,
2460,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Receptionists,
2461,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-19,,Wellington,Administration & Office Support,Administrative Assistants,
2462,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-19,Wellington Central,Wellington,Administration & Office Support,Receptionists,
2463,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
2464,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
2465,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2466,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=e58de545-d6ef-4410-8423-eccc5caf377e,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2467,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=15239c74-a5b5-4739-9fd9-eb2ce16cb3b7,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2468,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=15239c74-a5b5-4739-9fd9-eb2ce16cb3b7,2023-04-21,,Wellington,,,
2469,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=15239c74-a5b5-4739-9fd9-eb2ce16cb3b7,2023-05-03,Hamilton,Waikato,,,
2470,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=15239c74-a5b5-4739-9fd9-eb2ce16cb3b7,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
2471,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=15239c74-a5b5-4739-9fd9-eb2ce16cb3b7,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2472,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=15239c74-a5b5-4739-9fd9-eb2ce16cb3b7,2023-04-20,Wellington Central,Wellington,,,
2473,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=15239c74-a5b5-4739-9fd9-eb2ce16cb3b7,2023-04-27,Hamilton,Waikato,,,
2474,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=15239c74-a5b5-4739-9fd9-eb2ce16cb3b7,2023-04-19,Hamilton,Waikato,,,
2475,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=15239c74-a5b5-4739-9fd9-eb2ce16cb3b7,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2476,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-23,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
2477,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
2478,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
2479,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2480,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-05-10,Hamilton,Waikato,,,
2481,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2482,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2483,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2484,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2485,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2486,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-20,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
2487,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-27,Auckland Central,Auckland,Administration & Office Support,Other,
2488,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-19,Auckland Central,Auckland,,,
2489,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Receptionists,
2490,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-19,,Wellington,Administration & Office Support,Administrative Assistants,
2491,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-19,Wellington Central,Wellington,Administration & Office Support,Receptionists,
2492,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
2493,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
2494,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2495,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=a0c22683-efaf-4ca3-be08-a852b12ce3e4,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2496,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=93e8576f-0756-4871-ab9b-e5384ec050f1,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2497,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=93e8576f-0756-4871-ab9b-e5384ec050f1,2023-04-21,,Wellington,,,
2498,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=93e8576f-0756-4871-ab9b-e5384ec050f1,2023-05-03,Hamilton,Waikato,,,
2499,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=93e8576f-0756-4871-ab9b-e5384ec050f1,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
2500,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=93e8576f-0756-4871-ab9b-e5384ec050f1,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2501,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=93e8576f-0756-4871-ab9b-e5384ec050f1,2023-04-20,Wellington Central,Wellington,,,
2502,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=93e8576f-0756-4871-ab9b-e5384ec050f1,2023-04-27,Hamilton,Waikato,,,
2503,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=93e8576f-0756-4871-ab9b-e5384ec050f1,2023-04-19,Hamilton,Waikato,,,
2504,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=93e8576f-0756-4871-ab9b-e5384ec050f1,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2505,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-23,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
2506,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
2507,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
2508,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2509,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-05-10,Hamilton,Waikato,,,
2510,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2511,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2512,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2513,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2514,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2515,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-20,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
2516,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-27,Auckland Central,Auckland,Administration & Office Support,Other,
2517,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-19,Auckland Central,Auckland,,,
2518,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Receptionists,
2519,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-19,,Wellington,Administration & Office Support,Administrative Assistants,
2520,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-19,Wellington Central,Wellington,Administration & Office Support,Receptionists,
2521,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
2522,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
2523,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2524,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=3e4dfcfa-46e8-468e-bcae-87fdc0e5e6df,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2525,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=7c5e3447-7e42-40f3-8ad8-8eed33076a99,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2526,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=7c5e3447-7e42-40f3-8ad8-8eed33076a99,2023-04-21,,Wellington,,,
2527,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=7c5e3447-7e42-40f3-8ad8-8eed33076a99,2023-05-03,Hamilton,Waikato,,,
2528,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=7c5e3447-7e42-40f3-8ad8-8eed33076a99,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
2529,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=7c5e3447-7e42-40f3-8ad8-8eed33076a99,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2530,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=7c5e3447-7e42-40f3-8ad8-8eed33076a99,2023-04-20,Wellington Central,Wellington,,,
2531,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=7c5e3447-7e42-40f3-8ad8-8eed33076a99,2023-04-27,Hamilton,Waikato,,,
2532,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=7c5e3447-7e42-40f3-8ad8-8eed33076a99,2023-04-19,Hamilton,Waikato,,,
2533,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=7c5e3447-7e42-40f3-8ad8-8eed33076a99,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2534,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-23,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
2535,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
2536,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
2537,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2538,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-05-10,Hamilton,Waikato,,,
2539,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2540,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2541,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2542,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2543,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2544,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-20,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
2545,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-27,Auckland Central,Auckland,Administration & Office Support,Other,
2546,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-19,Auckland Central,Auckland,,,
2547,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Receptionists,
2548,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-19,,Wellington,Administration & Office Support,Administrative Assistants,
2549,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-19,Wellington Central,Wellington,Administration & Office Support,Receptionists,
2550,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
2551,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
2552,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2553,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=3596a574-4e72-4fde-b3b0-1994f57a8239,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2554,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=6bfb8810-efef-4216-b997-ede58f979ce1,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2555,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=6bfb8810-efef-4216-b997-ede58f979ce1,2023-04-21,,Wellington,,,
2556,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=6bfb8810-efef-4216-b997-ede58f979ce1,2023-05-03,Hamilton,Waikato,,,
2557,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=6bfb8810-efef-4216-b997-ede58f979ce1,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
2558,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=6bfb8810-efef-4216-b997-ede58f979ce1,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2559,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=6bfb8810-efef-4216-b997-ede58f979ce1,2023-04-20,Wellington Central,Wellington,,,
2560,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=6bfb8810-efef-4216-b997-ede58f979ce1,2023-04-27,Hamilton,Waikato,,,
2561,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=6bfb8810-efef-4216-b997-ede58f979ce1,2023-04-19,Hamilton,Waikato,,,
2562,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=6bfb8810-efef-4216-b997-ede58f979ce1,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2563,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-23,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
2564,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
2565,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
2566,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2567,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-05-10,Hamilton,Waikato,,,
2568,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2569,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
